epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,24381.4,1.1795,0.95252,1.01075,0.67381,0.3864,0.45303,0.3542,1.16015,1.16523,0.99839,0.0098515,0.0098515,0.0098515
152,24540.5,1.17848,0.94591,1.00549,0.6724,0.39092,0.4485,0.33836,1.1797,1.18761,0.99929,0.00985051,0.00985051,0.00985051
153,24700.4,1.17529,0.94958,1.00705,0.6136,0.4124,0.4467,0.34082,1.16918,1.2018,1.00146,0.00984952,0.00984952,0.00984952
154,24859.7,1.18071,0.94084,1.00478,0.66037,0.40094,0.45882,0.35577,1.16222,1.19056,0.99698,0.00984853,0.00984853,0.00984853
155,25020,1.1789,0.94514,1.00857,0.60058,0.41281,0.44582,0.34547,1.1643,1.2146,1.00077,0.00984754,0.00984754,0.00984754
156,25179.6,1.18185,0.94878,1.00305,0.64908,0.38749,0.44947,0.35326,1.15339,1.20066,0.9896,0.00984655,0.00984655,0.00984655
157,25339.3,1.18731,0.94387,1.00439,0.62439,0.4208,0.46454,0.36506,1.17083,1.18389,0.99581,0.00984556,0.00984556,0.00984556
158,25498.7,1.18527,0.93961,1.0064,0.60513,0.42151,0.45759,0.35632,1.16717,1.19969,0.99294,0.00984457,0.00984457,0.00984457
159,25658.3,1.1793,0.93989,1.00495,0.65409,0.39444,0.44571,0.34592,1.16004,1.18839,0.99328,0.00984358,0.00984358,0.00984358
160,25817.1,1.17673,0.93587,0.99923,0.6479,0.4102,0.44649,0.34778,1.15941,1.19751,0.99044,0.00984259,0.00984259,0.00984259
161,25975.9,1.17489,0.93901,0.99818,0.68748,0.38518,0.45421,0.35284,1.14665,1.17742,0.98132,0.0098416,0.0098416,0.0098416
162,26134.4,1.17008,0.93552,1.00481,0.57687,0.44199,0.45244,0.34956,1.14379,1.20269,0.9837,0.00984061,0.00984061,0.00984061
163,26293.5,1.17256,0.93734,1.00181,0.59913,0.41942,0.45375,0.35703,1.13928,1.20416,0.98758,0.00983962,0.00983962,0.00983962
